phrase	notation_mapping	exact_quoted_query	scholar_url	observed_utc	source_evidence	status	action
coordinate projection	\pi_n on sample space; P_n and P_F on H	"""coordinate projection"""	https://scholar.google.com/scholar?q=%22coordinate%20projection%22	2026-09-06T15:51:35Z	Scholar returned coordinate-projection algorithms; https://simtk.org/docman/view.php/162/397/SIAMJNumericalAnalysis-1993-v30-n5-p1467-Eich-CoordProjMechanicalSystems.pdf	hits_context_dependent	Distinguish sample-coordinate extraction pi_n from orthogonal projection P_n by domain and codomain.
coordinate filtration	\mathcal F_n=sigma(x_1,...,x_n)	"""coordinate filtration"""	https://scholar.google.com/scholar?q=%22coordinate%20filtration%22	2026-09-06T15:51:43Z	Scholar returned mixed engineering and combinatorial uses; https://doi.org/10.1007/s11856-010-0061-6	hits_context_dependent	Retain explicit sigma-field definition.
bounded operator	\mathcal B(H); T,S,A,B in operator statements	"""bounded operator"""	https://scholar.google.com/scholar?q=%22bounded%20operator%22	2026-09-06T15:51:49Z	Scholar returned bounded-operator theory; https://www.ams.org/journals/jams/1997-10-02/S0894-0347-97-00227-0/	hits_standard_context	Retain standard terminology and declared operator domains.
general linear group	\GL(H); \GL(n,R)	"""general linear group"""	https://scholar.google.com/scholar?q=%22general%20linear%20group%22	2026-09-06T15:51:57Z	Scholar returned standard group representations; https://doi.org/10.1007/978-1-4612-0799-3_2	hits_standard_context	Retain invertible bounded-operator or finite-matrix scope as appropriate.
Hilbert space	H=ell^2(N;R) and L2 spaces	"""Hilbert space"""	https://scholar.google.com/scholar?q=%22Hilbert%20space%22	2026-09-06T15:52:15Z	Scholar returned standard Hilbert-space textbooks.	hits_standard_context	Retain H for the coefficient space.
polar decomposition	T=BO; B=(TT^*)^(1/2); orthogonal O	"""polar decomposition"""	https://scholar.google.com/scholar?q=%22polar%20decomposition%22	2026-09-06T15:52:22Z	Scholar returned polar-decomposition algorithms; https://eprints.maths.manchester.ac.uk/694/01/covered/MIMS_ep2007_9.pdf	hits_standard_context	Retain standard decomposition with orientation specified.
orthogonal projection	P_n,P_F; projection onto a specified operator subspace when used	"""orthogonal projection"""	https://scholar.google.com/scholar?q=%22orthogonal%20projection%22	2026-09-06T15:52:27Z	Scholar returned orthogonal-projection literature; https://academic.oup.com/jcde/article-pdf/1/2/116/33155086/jcde.2014.012.pdf	hits_standard_context	Retain projection with its Hilbert space and range explicit.
weak derivative	g', f', partial_i; all Sobolev derivatives	"""weak derivative"""	https://scholar.google.com/scholar?q=%22weak%20derivative%22	2026-09-06T16:26:02Z/2026-09-06T16:30:19Z	Scholar returned Temple, The theory of weak functions. I (1963), and Valli, Weak Derivatives and Sobolev Spaces (2021): https://link.springer.com/chapter/10.1007/978-3-030-58205-0_4	hits_standard_context	Retain standard Sobolev weak derivatives with the function space explicit.
Sobolev space	W^{1,2}(R); g and weighted derivative assumptions	"""Sobolev space"""	https://scholar.google.com/scholar?q=%22Sobolev%20space%22	2026-09-06T16:26:02Z/2026-09-06T16:30:19Z	Scholar returned Mazya, Sobolev spaces (2013), and Zhikov, Weighted sobolev spaces (1998): https://iopscience.iop.org/article/10.1070/SM1998v189n08ABEH000344/meta	hits_standard_context	Retain W^{1,2}(R) with explicit derivative hypotheses.
Frobenius inner product	<A,B>_F	"""Frobenius inner product"""	https://scholar.google.com/scholar?q=%22Frobenius%20inner%20product%22	2026-09-06T16:26:02Z/2026-09-06T16:30:19Z	Scholar returned Herzog et al., Frobenius-type norms and inner products of matrices and linear maps (2023): https://arxiv.org/abs/2311.15419; generalized and metric variants also occur.	hits_standard_context	Retain standard real-matrix inner product with its trace formula; do not imply metric generalizations.
Hellinger path bound	path A_t; integral of ||A_t^{-1}dot A_t||_F	"""Hellinger path bound"""	https://scholar.google.com/scholar?q=%22Hellinger%20path%20bound%22	2026-09-06T16:26:02Z/2026-09-06T16:30:19Z	Google Scholar displayed no matching articles.	no_exact_articles	Use as a descriptive bound with displayed path integral; no novelty inference.
likelihood-ratio martingale	\ell_{T,n} and reciprocal ratios under their reference measures	"""likelihood-ratio martingale"""	https://scholar.google.com/scholar?q=%22likelihood-ratio%20martingale%22	2026-09-06T16:26:02Z/2026-09-06T16:30:19Z	Scholar returned Lai, On confidence sequences (1976), and change-of-measure literature: https://projecteuclid.org/journals/annals-of-statistics/volume-4/issue-2/On-Confidence-Sequences/10.1214/aos/1176343406.pdf	hits_standard_context	Retain standard name; specify the filtration and reference measure for each ratio.
Lebesgue decomposition	nu=nu_a+nu_s; (nu_T)_a; block absolutely continuous parts	"""Lebesgue decomposition"""	https://scholar.google.com/scholar?q=%22Lebesgue%20decomposition%22	2026-09-06T16:26:02Z/2026-09-06T16:30:19Z	Scholar returned Johnson, On the Lebesgue decomposition theorem (1967), https://jstor.org/stable/2035430; Darst, The Lebesgue decomposition (1963), DOI 10.1215/S0012-7094-63-03060-6.	hits_standard_context	Retain standard decomposition relative to the stated reference measure.
Radon-Nikodym derivative	d nu/d mu; \ell_T; \ell_{T,n}; block densities	"""Radon-Nikodym derivative"""	https://scholar.google.com/scholar?q=%22Radon-Nikodym%20derivative%22	2026-09-06T16:26:02Z/2026-09-06T16:30:19Z	Scholar returned Simonnet, Radon-Nikodym Derivatives (1996), https://link.springer.com/chapter/10.1007/978-1-4612-4012-9_10; also Shepp (1966) Gaussian-measure derivatives.	hits_standard_context	Retain standard name with numerator, denominator and almost-everywhere convention explicit.
quasi-invariance	translation by H; countable translation group	"""quasi-invariance"""	https://scholar.google.com/scholar?q=%22quasi-invariance%22	2026-09-06T16:26:02Z/2026-09-06T16:30:19Z	Scholar returned Driver (1992) Cameron-Martin quasi-invariance and Chatterji-Mandrekar, Quasi-invariance of measures under translation (1977): https://link.springer.com/article/10.1007/BF01215109	hits_standard_context	Retain measure-class meaning with the acting transformations explicit; unrelated approximate-invariance usages do not alter it.
zero-one dichotomy	nu_T equivalent or singular to mu under strict density positivity	"""zero-one dichotomy"""	https://scholar.google.com/scholar?q=%22zero-one%20dichotomy%22	2026-09-06T16:26:02Z/2026-09-06T16:30:19Z	Scholar returned Louie et al., A zero-one dichotomy theorem for r-semi-stable laws on infinite dimensional linear spaces (1980), https://jstor.org/stable/25050210; snippets concern probabilities of affine subspaces.	hits_context_dependent	State equivalence-or-singularity explicitly; do not import the different subspace zero-one theorem.
finite-coordinate approximants	T_n=I+P_nKP_n; finite-coordinate polar approximants	"""finite-coordinate approximants"""	https://scholar.google.com/scholar?q=%22finite-coordinate%20approximants%22	2026-09-06T16:26:02Z/2026-09-06T16:30:19Z	Google Scholar displayed no matching articles.	no_exact_articles	Keep descriptive finite-coordinate approximants with their explicit formula; no novelty inference.
Gaussian characterization	R identically zero; global anchored characteristic-function ODE	"""Gaussian characterization"""	https://scholar.google.com/scholar?q=%22Gaussian%20characterization%22	2026-09-06T16:30:19Z/2026-09-06T16:33:39Z	Scholar returned Gine et al., Gaussian characterization of uniform Donsker classes (1991), DOI 10.1214/aop/1176990450; Gutierrez et al., Gaussian characterization of certain second-order processes (1989), https://ieeexplore.ieee.org/abstract/document/42199/; and physics usages.	hits_context_dependent	Retain as descriptive characterization of Gaussian coordinate laws by the explicitly named rotational Fourier defect, with classical references.
stable law	alpha-stable row-series example	"""stable law"""	https://scholar.google.com/scholar?q=%22stable%20law%22	2026-09-06T16:30:19Z/2026-09-06T16:33:39Z	Scholar returned Devroye-James, On simulation and properties of the stable law (2014), https://link.springer.com/article/10.1007/s10260-014-0260-0; Laha (1956) stable-law characterization.	hits_standard_context	Retain symmetric alpha-stable law, including its characteristic function and exponent range.
Laplace density	Laplace example centered with variance one	"""Laplace density"""	https://scholar.google.com/scholar?q=%22Laplace%20density%22	2026-09-06T16:30:19Z/2026-09-06T16:33:39Z	Scholar returned Kotz et al., Classical symmetric Laplace distribution (2001), https://link.springer.com/chapter/10.1007/978-1-4612-0173-1_2; asymmetric and multivariate extensions also occur.	hits_standard_context	Retain the explicit one-dimensional symmetric Laplace density centered with variance one.
Gamma distribution	Gamma(r_Gamma,theta_Gamma); centered-with-variance-one Gamma product	"""Gamma distribution"""	https://scholar.google.com/scholar?q=%22Gamma%20distribution%22	2026-09-06T16:30:19Z/2026-09-06T16:33:39Z	Scholar returned Lukacs, A characterization of the gamma distribution (1955), https://jstor.org/stable/2236887; Thom (1958) and parameter-estimation literature.	hits_standard_context	Retain the Gamma distribution with its shape and scale convention explicitly defined.
Fisher information	J, kappa and matrix Fisher covariance operator	"""Fisher information"""	https://scholar.google.com/scholar?q=%22Fisher%20information%22	2026-09-06T16:30:19Z/2026-09-06T16:33:39Z	Scholar returned A tutorial on Fisher information (2017), https://arxiv.org/abs/1705.01064, and Fisher-information uses in statistics and physics.	hits_standard_context	Retain explicit score-square/covariance formulas and specified location/scale model.
Fredholm index	index-zero completion of partial signed permutation	"""Fredholm index"""	https://scholar.google.com/scholar?q=%22Fredholm%20index%22	2026-09-06T16:30:19Z/2026-09-06T16:33:39Z	Scholar returned Fredholm theory in Hilbert space: A concise introductory exposition (2008), DOI 10.36045/bbms/1203692453, and commuting-operator generalizations.	hits_standard_context	Retain standard index-zero use for a single bounded Fredholm operator.
direct sum	operator block-sum argument	"""direct sum"""	https://scholar.google.com/scholar?q=%22direct%20sum%22	2026-09-06T16:30:19Z/2026-09-06T16:33:39Z	Scholar returned tensor direct sums, https://arxiv.org/abs/1712.08660, polynomial decompositions and communication-complexity direct-sum theorems.	hits_context_dependent	Retain ordinary operator block direct sums with the summands displayed; no new name is introduced.
absolutely continuous part	nu_a, mu_a; masses a_k,b_k	"""absolutely continuous part"""	https://scholar.google.com/scholar?q=%22absolutely%20continuous%20part%22	2026-09-06T16:33:39Z/2026-09-06T16:37:38Z	Scholar returned Lebesgue components of measures and spectral components of operators; measure example https://arxiv.org/abs/2303.09486.	hits_standard_context	Retain measure-theoretic term with reference measure explicit; do not confuse it with an operator spectral subspace.
linear equivalence group	mathcal G_rho	"""linear equivalence group"""	https://scholar.google.com/scholar?q=%22linear%20equivalence%20group%22	2026-09-06T16:33:39Z/2026-09-06T16:37:38Z	Scholar returned 3 records: Li-Huang-Pei, The Recognition of the Bifurcation Problem with Trivial Solutions (2019), https://mdpi.com/2073-8994/11/7/935, and two algebraic-geometry books. Official PDF pp.2-3 inspected: transformations of bifurcation-function germs.	hits_context_dependent	Retain load-bearing linear equivalence group of mu, explicitly G_rho={T:nu_T equivalent to mu}; inspected mathematical overlap concerns a different object.
signed permutation group	\mathcal P, \mathcal P_n, and the full groups \mathcal P^{\pm}, \mathcal P_n^{\pm}	"""signed permutation group"""	https://scholar.google.com/scholar?q=%22signed%20permutation%20group%22	2026-09-06T16:33:39Z/2026-09-06T16:37:38Z	Scholar returned Coxeter/signed-permutation groups, https://link.springer.com/article/10.1007/s10801-021-01089-9, and Consensus ranking with signed permutations (2013), https://proceedings.mlr.press/v31/arora13a.html.	hits_standard_context	Retain signed-permutation meaning; distinguish all such operators from the subgroup preserving rho.
standard symmetric alpha-stable law	rho_alpha, with characteristic function exp(-|t|^alpha)	"""standard symmetric alpha-stable law"""	https://scholar.google.com/scholar?q=%22standard%20symmetric%20alpha-stable%20law%22	2026-09-07T01:42:48Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain the explicit characteristic-function normalization; no novelty inference.
compatible stable row-series realization	Phi_{alpha,T}, Phi_{alpha,S}, and two-sided conull composition identities	"""compatible stable row-series realization"""	https://scholar.google.com/scholar?q=%22compatible%20stable%20row-series%20realization%22	2026-09-07T01:42:48Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain because it is defined, used in the theorem statement, and occurs at least three times; no novelty inference.
anisotropic mixing cost	mathfrak e_alpha(M)	"""anisotropic mixing cost"""	https://scholar.google.com/scholar?q=%22anisotropic%20mixing%20cost%22	2026-09-07T01:42:48Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain with its displayed diagonal-square and off-diagonal column-cost definition; no novelty inference.
column cost	F_alpha(K)=sum_j ||K e_j||_2^alpha	"""column cost"""	https://scholar.google.com/scholar?q=%22column%20cost%22	2026-09-07T01:42:48Z	Scholar returned about 2,350 records, led by reinforced-concrete column cost optimization and distillation-column design; e.g. https://www.sciencedirect.com/science/article/pii/S2214785321059344	hits_other_context	Retain only with the displayed functional F_alpha; the exact-phrase hits use column in engineering senses.
anisotropic stable Hellinger coercivity	dimension-free two-sided comparison with mathfrak e_{alpha,n}	"""anisotropic stable Hellinger coercivity"""	https://scholar.google.com/scholar?q=%22anisotropic%20stable%20Hellinger%20coercivity%22	2026-09-07T01:42:48Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain because it titles a formal proposition and occurs at least three times; no novelty inference.
a.e.-positive density	f>0 Lebesgue-almost everywhere	"""a.e.-positive density"""	https://scholar.google.com/scholar?q=%22a.e.-positive%20density%22	2026-09-07T01:42:48Z	Scholar returned probability and analysis uses, led by Hudson--Tucker, Equivalence of infinitely divisible distributions (1975): https://www.jstor.org/stable/2959265	hits_standard_context	Retain as the canonical finite-variance density hypothesis.
centered with variance one	E X=0 and E X^2=1	"""centered with variance one"""	https://scholar.google.com/scholar?q=%22centered%20with%20variance%20one%22	2026-09-07T01:42:48Z	Scholar returned probability and random-matrix uses, led by Adamczak--Litvak--Pajor--Tomczak-Jaegermann, Restricted isometry property of matrices with independent columns and neighborly polytopes by random sampling (2011): https://link.springer.com/article/10.1007/s00365-010-9117-4	hits_standard_context	Retain as the canonical normalization phrase.
bounded invertible linear mixing	T in GL(ell^2) acting through its measurable row-series realization	"""bounded invertible linear mixing"""	https://scholar.google.com/scholar?q=%22bounded%20invertible%20linear%20mixing%22	2026-09-07T01:42:48Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain as the canonical scope phrase; no novelty inference.
zero-set row condition	forward and inverse rows land in {f>0} almost surely	"""zero-set row condition"""	https://scholar.google.com/scholar?q=%22zero-set%20row%20condition%22	2026-09-07T01:42:48Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain with the formal forward and inverse conditions; no novelty inference.
product of centered complex exponentials	W_{xi,eta}	"""product of centered complex exponentials"""	https://scholar.google.com/scholar?q=%22product%20of%20centered%20complex%20exponentials%22	2026-09-07T01:42:48Z	Google Scholar displayed no matching articles.	no_exact_articles	Use as a direct expansion of W_{xi,eta}; no novelty inference.
image law	nu_T and nu_{alpha,T}, each defined as a pushforward	"""image law"""	https://scholar.google.com/scholar?q=%22image%20law%22	2026-09-07T01:42:48Z	Scholar returned mostly legal and electrostatic uses, together with Chang, Measures with continuous image law (1977): https://msp.org/pjm/1977/69-1/p04.xhtml	hits_context_dependent	Retain only as ordinary pushforward terminology with the map and source law explicit.
matrix score	S_A	"""matrix score"""	https://scholar.google.com/scholar?q=%22matrix%20score%22	2026-09-07T01:42:48Z	Scholar returned film-music, clinical-risk, and bioinformatics scoring uses; e.g. https://pmc.ncbi.nlm.nih.gov/articles/PMC9724886/	hits_other_context	Keep S_A defined by its displayed density derivative; do not use matrix score as an independent branded term.
unitary half-density action	U_A and its generator G_A	"""unitary half-density action"""	https://scholar.google.com/scholar?q=%22unitary%20half-density%20action%22	2026-09-07T01:42:48Z	Google Scholar displayed no matching articles.	no_exact_articles	Use only as the semantic expansion of the displayed unitary representation; no novelty inference.
product square-root density	Omega_n	"""product square-root density"""	https://scholar.google.com/scholar?q=%22product%20square-root%20density%22	2026-09-07T01:42:48Z	Google Scholar displayed no matching articles.	no_exact_articles	Use only as the semantic expansion of Omega_n; no novelty inference.
half-density generator	G_A	"""half-density generator"""	https://scholar.google.com/scholar?q=%22half-density%20generator%22	2026-09-07T01:42:48Z	Scholar returned three 2026 records in quantum statistical-gauge and scale geometry, led by Pham-Van, Quantum statistical-gauge geometry: https://link.aps.org/doi/10.1103/jb7b-rsfb	hits_related_context	Keep G_A defined by the displayed infinitesimal action; the phrase is used only in the collision mapping.
positivity set	\mathcal U={x:f(x)>0}	"""positivity set"""	https://scholar.google.com/scholar?q=%22positivity%20set%22	2026-09-07T01:42:48Z	Scholar returned standard mathematical uses in recurrence sequences, real algebraic geometry, and PDE; e.g. https://dl.acm.org/doi/abs/10.1145/3531130.3532399	hits_standard_context	Retain the standard phrase with the defining set displayed.
reflected law	rho^-=Law(-X)	"""reflected law"""	https://scholar.google.com/scholar?q=%22reflected%20law%22	2026-09-07T01:42:48Z	Scholar returned mostly legal prose and wave-reflection uses on the first page.	hits_other_context	Use only as the semantic expansion of rho^-; the displayed law definition prevents ambiguity.
finite-marginal ratio tails	Tail_n(M)	"""finite-marginal ratio tails"""	https://scholar.google.com/scholar?q=%22finite-marginal%20ratio%20tails%22	2026-09-07T01:42:48Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain the displayed two-sided tail functional; no novelty inference.
common-support mass	a_k and b_k in the block criterion	"""common-support mass"""	https://scholar.google.com/scholar?q=%22common-support%20mass%22	2026-09-07T01:42:48Z	Scholar returned three unrelated records in astrophysics, aerospace hardware, and plant architecture, led by Chi--Wang, Kinematic Signatures of a Binary-rich Population in the Pleiades (2026): https://iopscience.iop.org/article/10.3847/1538-4357/ae7bfb/meta	hits_other_context	Use only as the semantic expansion of the displayed masses; do not promote it as a named result.
Frobenius distance	d_n, the distance to the finite admissible signed-permutation group	"""Frobenius distance"""	https://scholar.google.com/scholar?q=%22Frobenius%20distance%22	2026-09-07T01:46:21Z	Scholar returned standard matrix-distance uses, including Tian--Xu--Fu, The Frobenius distances from projections to an idempotent matrix (2024): https://www.sciencedirect.com/science/article/pii/S0024379524000545	hits_standard_context	Retain d_n with its explicit minimization formula and group.
