object_or_phrase	kind	scope	python_regex	total_lexical_occurrences	direct_result_occurrences	result_referenced_equation_occurrences	macro_expansion_carrier_occurrences	first_counted_occurrence	definition_or_semantic_expansion	burden_assessment	decision	limits_or_notes	result_locations_after_expansion	counted_sections
h	notation	exported	(?<![A-Za-z\\])h(?![A-Za-z_])	48	9	0	0	sections/01-introduction-and-main-results.tex:166	squared Hellinger distance h(lambda,nu)^2=2-2 Aff(lambda,nu)	PASS: load-bearing	retain canonical name		sections/03-finite-dimensional-hellinger-coercivity.tex:191; sections/03-finite-dimensional-hellinger-coercivity.tex:198; sections/03-finite-dimensional-hellinger-coercivity.tex:527; sections/03-finite-dimensional-hellinger-coercivity.tex:609; sections/05-finite-variance-equivalence-and-global-rigidity.tex:146; sections/05-finite-variance-equivalence-and-global-rigidity.tex:225; sections/05-finite-variance-equivalence-and-global-rigidity.tex:433; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:755; sections/07-zero-set-row-condition-and-linear-equivalence.tex:54	all
P_n	notation	exported	(?<!\\mathcal )P_[nmN](?![A-Za-z])	17	2	0	0	sections/01-introduction-and-main-results.tex:170	orthogonal projection in H onto an initial coordinate segment	PASS: load-bearing	retain canonical name		sections/01-introduction-and-main-results.tex:206; sections/05-finite-variance-equivalence-and-global-rigidity.tex:28	all
\pi_n	notation	exported	\\pi_[nmN](?![A-Za-z])	12	5	0	5	sections/01-introduction-and-main-results.tex:172	coordinate extraction from the product sample space	PASS: load-bearing	retain canonical name		sections/04-measurable-realization-and-dichotomy.tex:207; sections/04-measurable-realization-and-dichotomy.tex:211; sections/04-measurable-realization-and-dichotomy.tex:213; sections/04-measurable-realization-and-dichotomy.tex:222; sections/01-introduction-and-main-results.tex:192; sections/01-introduction-and-main-results.tex:197; sections/04-measurable-realization-and-dichotomy.tex:212; sections/04-measurable-realization-and-dichotomy.tex:225; sections/04-measurable-realization-and-dichotomy.tex:228	all
E_n(T)	notation	exported	(?<![A-Za-z\\])E_[nmN](?![A-Za-z])	6	3	0	0	sections/01-introduction-and-main-results.tex:176	projected Hellinger energy -2 log Aff(mu_n,(pi_n)_#nu_T)	PASS: load-bearing	retain canonical name		sections/01-introduction-and-main-results.tex:197; sections/04-measurable-realization-and-dichotomy.tex:212; sections/04-measurable-realization-and-dichotomy.tex:228	all
\mathcal S_2	notation	exported	\\mathcal S_2	78	19	0	0	sections/01-introduction-and-main-results.tex:173	Hilbert--Schmidt operator ideal	PASS: load-bearing	retain canonical name		sections/01-introduction-and-main-results.tex:191; sections/01-introduction-and-main-results.tex:253; sections/05-finite-variance-equivalence-and-global-rigidity.tex:25; sections/05-finite-variance-equivalence-and-global-rigidity.tex:37; sections/05-finite-variance-equivalence-and-global-rigidity.tex:47; sections/05-finite-variance-equivalence-and-global-rigidity.tex:139; sections/05-finite-variance-equivalence-and-global-rigidity.tex:221; sections/05-finite-variance-equivalence-and-global-rigidity.tex:222; sections/05-finite-variance-equivalence-and-global-rigidity.tex:224; sections/05-finite-variance-equivalence-and-global-rigidity.tex:226; sections/05-finite-variance-equivalence-and-global-rigidity.tex:554; sections/05-finite-variance-equivalence-and-global-rigidity.tex:829; sections/07-zero-set-row-condition-and-linear-equivalence.tex:54; sections/07-zero-set-row-condition-and-linear-equivalence.tex:55; sections/07-zero-set-row-condition-and-linear-equivalence.tex:56; sections/07-zero-set-row-condition-and-linear-equivalence.tex:64; sections/07-zero-set-row-condition-and-linear-equivalence.tex:159; sections/07-zero-set-row-condition-and-linear-equivalence.tex:173; sections/07-zero-set-row-condition-and-linear-equivalence.tex:185	all
matrix score S_A	notation	exported	S_[AB](?![A-Za-z])	13	2	0	0	sections/03-finite-dimensional-hellinger-coercivity.tex:60	matrix-path score sum	PASS: load-bearing	retain canonical name		sections/03-finite-dimensional-hellinger-coercivity.tex:71; sections/03-finite-dimensional-hellinger-coercivity.tex:253	all
\mathcal I	notation	exported	\\mathcal I(?![A-Za-z])	7	6	0	0	sections/03-finite-dimensional-hellinger-coercivity.tex:70	matrix Fisher operator defined by score covariance	PASS: load-bearing	retain canonical name		sections/03-finite-dimensional-hellinger-coercivity.tex:70; sections/03-finite-dimensional-hellinger-coercivity.tex:71; sections/03-finite-dimensional-hellinger-coercivity.tex:74; sections/03-finite-dimensional-hellinger-coercivity.tex:84; sections/03-finite-dimensional-hellinger-coercivity.tex:102; sections/03-finite-dimensional-hellinger-coercivity.tex:185	all
U_A	notation	exported	U_(?:[AB]|\{(?:[AB]|\\exp))	17	4	0	0	sections/03-finite-dimensional-hellinger-coercivity.tex:153	unitary half-density action induced by A	PASS: load-bearing	retain canonical name		sections/03-finite-dimensional-hellinger-coercivity.tex:177; sections/03-finite-dimensional-hellinger-coercivity.tex:181; sections/03-finite-dimensional-hellinger-coercivity.tex:182; sections/03-finite-dimensional-hellinger-coercivity.tex:183	all
\Omega_n	notation	exported	\\Omega_[nmN](?![A-Za-z])	30	5	0	0	sections/03-finite-dimensional-hellinger-coercivity.tex:155	product square-root density	PASS: load-bearing	retain canonical name		sections/03-finite-dimensional-hellinger-coercivity.tex:177; sections/03-finite-dimensional-hellinger-coercivity.tex:181; sections/03-finite-dimensional-hellinger-coercivity.tex:182; sections/03-finite-dimensional-hellinger-coercivity.tex:183; sections/03-finite-dimensional-hellinger-coercivity.tex:332	all
G_A	notation	exported	G_[AB](?![A-Za-z])	6	1	0	0	sections/03-finite-dimensional-hellinger-coercivity.tex:163	generator of the half-density action	PASS: load-bearing	retain canonical name		sections/03-finite-dimensional-hellinger-coercivity.tex:332	all
finite Fourier functions	notation	exported	(?<![A-Za-z\\])[pqr](?![A-Za-z_])	37	14	0	0	sections/03-finite-dimensional-hellinger-coercivity.tex:196	the three finite real Fourier sums with displayed dual moments	PASS: load-bearing	retain canonical name		sections/03-finite-dimensional-hellinger-coercivity.tex:196; sections/03-finite-dimensional-hellinger-coercivity.tex:199; sections/03-finite-dimensional-hellinger-coercivity.tex:234; sections/03-finite-dimensional-hellinger-coercivity.tex:238; sections/03-finite-dimensional-hellinger-coercivity.tex:239; sections/03-finite-dimensional-hellinger-coercivity.tex:241; sections/03-finite-dimensional-hellinger-coercivity.tex:247; sections/03-finite-dimensional-hellinger-coercivity.tex:248; sections/03-finite-dimensional-hellinger-coercivity.tex:327	03
H_A	notation	exported	H_[AB](?![A-Za-z])	23	5	0	0	sections/03-finite-dimensional-hellinger-coercivity.tex:247	quadratic function built from the three finite Fourier sums	PASS: load-bearing	retain canonical name		sections/03-finite-dimensional-hellinger-coercivity.tex:247; sections/03-finite-dimensional-hellinger-coercivity.tex:254; sections/03-finite-dimensional-hellinger-coercivity.tex:325; sections/03-finite-dimensional-hellinger-coercivity.tex:328; sections/03-finite-dimensional-hellinger-coercivity.tex:332	03
\mathcal P_n	notation	exported	\\mathcal P_[nmN](?![A-Za-z^])	4	2	0	0	sections/03-finite-dimensional-hellinger-coercivity.tex:597	finite-dimensional rho-admissible signed-permutation group	PASS: load-bearing	retain canonical name		sections/03-finite-dimensional-hellinger-coercivity.tex:597; sections/03-finite-dimensional-hellinger-coercivity.tex:600	all
d_n	notation	exported	(?<![A-Za-z\\])d_[nmN](?![A-Za-z])	7	3	0	0	sections/03-finite-dimensional-hellinger-coercivity.tex:600	Frobenius distance to the finite rho-admissible group	PASS: load-bearing	retain canonical name		sections/03-finite-dimensional-hellinger-coercivity.tex:600; sections/03-finite-dimensional-hellinger-coercivity.tex:608; sections/03-finite-dimensional-hellinger-coercivity.tex:610	all
\ell_{T,n}	notation	exported	\\ell_\{T,[nmN]\}|\\ell_\{T_[nmN]\}	19	8	0	0	sections/04-measurable-realization-and-dichotomy.tex:211	finite-marginal likelihood ratio on the common product space	PASS: load-bearing	retain canonical name		sections/04-measurable-realization-and-dichotomy.tex:211; sections/04-measurable-realization-and-dichotomy.tex:212; sections/04-measurable-realization-and-dichotomy.tex:214; sections/04-measurable-realization-and-dichotomy.tex:218; sections/04-measurable-realization-and-dichotomy.tex:233; sections/04-measurable-realization-and-dichotomy.tex:237; sections/05-finite-variance-equivalence-and-global-rigidity.tex:29; sections/05-finite-variance-equivalence-and-global-rigidity.tex:31	all
\ell_T	notation	exported	\\ell_T(?![A-Za-z_])	18	9	0	0	sections/04-measurable-realization-and-dichotomy.tex:186	Radon--Nikodym derivative d nu_T/d mu	PASS: load-bearing	retain canonical name		sections/04-measurable-realization-and-dichotomy.tex:231; sections/04-measurable-realization-and-dichotomy.tex:233; sections/04-measurable-realization-and-dichotomy.tex:234; sections/04-measurable-realization-and-dichotomy.tex:237; sections/04-measurable-realization-and-dichotomy.tex:238; sections/05-finite-variance-equivalence-and-global-rigidity.tex:30; sections/05-finite-variance-equivalence-and-global-rigidity.tex:31; sections/05-finite-variance-equivalence-and-global-rigidity.tex:41; sections/05-finite-variance-equivalence-and-global-rigidity.tex:43	all
\rho_\alpha	notation	exported	\\rho_\\alpha	7	0	0	2	sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:7	standard symmetric alpha-stable coordinate law	PASS: load-bearing	retain canonical name		sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:76; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:90	all
\mu_\alpha	notation	exported	\\mu_\\alpha(?![A-Za-z_])	42	2	0	0	sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:12	rho_alpha^(tensor N)	PASS: load-bearing	retain canonical name		sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:76; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:90	all
\Phi_{\alpha,T}	notation	exported	\\Phi_\{\\alpha,[A-Z]\}	6	0	0	2	sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:32	compatible stable row-series realization	PASS: load-bearing	retain canonical name		sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:76; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:90	all
\nu_{\alpha,T}	notation	exported	\\nu_\{\\alpha,[A-Z]\}(?![A-Za-z_])	15	2	0	0	sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:33	(Phi_{alpha,T})_#mu_alpha	PASS: load-bearing	retain canonical name		sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:76; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:90	all
F_\alpha	notation	exported	F_\\alpha(?![A-Za-z_])	34	1	1	3	sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:50	sum over columns of the alpha-th powers of their ell^2 norms; the mixing cost applies it to the off-diagonal part	PASS: load-bearing	retain canonical name		sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:88; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:56; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:79; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:86; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:54	all
\mathfrak e_\alpha	notation	exported	\\mathfrak e_\\alpha(?![A-Za-z_])	6	2	1	0	sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:54	diagonal square cost plus F_alpha of the off-diagonal part	PASS: load-bearing	retain canonical name		sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:79; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:86; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:54	all
E_{\alpha,n}	notation	exported	E_\{\\alpha,[nmN]\}	4	2	0	0	sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:64	projected Hellinger energy for the stable image law	PASS: load-bearing	retain canonical name		sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:82; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:91	all
\mathcal P^{\pm}	notation	exported	\\mathcal P\^\{\\pm\}	7	2	0	0	sections/01-introduction-and-main-results.tex:151	full signed-permutation group	PASS: load-bearing	retain canonical name		sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:80; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:95	all
\mathcal P_n^{\pm}	notation	exported	\\mathcal P_[nmN]\^\{\\pm\}	3	0	0	2	sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:741	finite-dimensional full signed-permutation group	PASS: load-bearing	retain canonical name		sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:754; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:756	all
